Repo,MergeCommit,File,Diff3_Conflict,CSDiff_Conflict,CSDiff_Equals_Diff3,CSDiff_Equals_Manual
stack,89d165b,src/Stack/Runners.hs,2,2,True,True
stack,d2145d2,src/Stack/Runners.hs,2,2,True,True
stack,3228bf8,src/Stack/Runners.hs,2,2,True,True
stack,5d1ad0d,src/Stack/Runners.hs,2,2,True,True
stack,e782c7b,src/Stack/Runners.hs,2,2,True,True
stack,c87e073,src/Stack/Runners.hs,2,2,True,True
stack,aa85308,subs/pantry/src/Pantry/Types.hs,2,2,False,False
stack,40bf6f0,src/Stack/Runners.hs,2,2,True,True
stack,6e1d9eb,src/Stack/Runners.hs,2,2,True,True
stack,a6fe11f,src/Stack/Runners.hs,2,2,True,True
stack,d2b3930,src/Stack/Runners.hs,2,2,True,True
stack,349baff,src/Stack/Docker.hs,4,4,False,False
stack,349baff,src/Stack/Setup.hs,2,2,False,False
stack,349baff,src/main/Main.hs,9,9,False,False
stack,d6e0c69,test/integration/tests/4101-dependency-tree/Main.hs,1,1,False,False
stack,0df4bca,src/Stack/Docker.hs,3,3,False,False
stack,2833c22,src/Stack/Types/Config.hs,4,4,False,False
stack,29df099,src/Stack/BuildPlan.hs,7,7,False,False
stack,29df099,src/Stack/ConfigCmd.hs,1,1,False,False
stack,29df099,src/Stack/Init.hs,9,8,False,False
stack,29df099,src/Stack/Types/Config.hs,1,2,False,False
stack,29df099,src/main/Main.hs,2,1,False,False
stack,9af04b9,subs/curator/app/Main.hs,1,0,False,True
stack,cc1929a,src/Stack/Build/ConstructPlan.hs,1,2,False,False
stack,cc1929a,src/Stack/Build/Source.hs,1,1,False,False
stack,cc1929a,src/Stack/Setup.hs,2,2,False,False
stack,cc1929a,src/Stack/Sig/Sign.hs,1,1,False,False
stack,cc1929a,src/Stack/Types/Compiler.hs,1,1,False,False
stack,cc1929a,src/Stack/Types/Sig.hs,1,1,False,False
stack,cc1929a,src/main/Main.hs,1,0,False,False
stack,3bfb4aa,src/main/Main.hs,1,0,False,False
stack,0108611,src/Stack/SourceMap.hs,1,1,False,False
stack,fe6acf4,src/Stack/Dot.hs,2,2,False,False
stack,19ca481,src/Stack/Build/ConstructPlan.hs,4,0,False,False
stack,36f99d9,src/Stack/Build/ConstructPlan.hs,1,1,False,False
stack,3f2d0e4,src/Stack/Build/Target.hs,1,1,False,False
stack,cfbcc26,subs/pantry/src/Pantry/Types.hs,1,0,False,False
stack,fdd65b0,src/Stack/Ghci.hs,1,1,False,False
stack,b98340b,subs/curator/src/Curator/Snapshot.hs,1,2,False,False
stack,b98340b,subs/pantry/src/Pantry.hs,1,2,False,False
stack,b98340b,subs/pantry/src/Pantry/Archive.hs,10,4,False,False
stack,a0f382d,src/Stack/IDE.hs,3,4,False,False
stack,a0f382d,src/main/Main.hs,2,1,False,False
stack,2caf0e0,src/Stack/Build/ConstructPlan.hs,1,1,False,False
